_id,app_id,app_name,app_rate,app_category,app_date,app_description
5ddead265b4c05dececbfd23,com.na.ttsta,Tamil Speech To Text Convertor,4.2,Books & Reference,"April 30, 2019",Tamil speech to text converter is simple to use for dictating/recognizing text It is a Voice typing in Tamil language which can be sent as an SMS or copied and pasted into all other apps existing in your device. 
5ddead3b5b4c05dececbfd26,ingles.espanol,Translate,4.4,Tools,"November 11, 2019",Free 
5ddead3b5b4c05dececbfd27,com.toucan.speak,Speak!,4.4,Tools,"November 20, 2019",Speak! is an app designed to aid the visually impaired and others that require reading assistance. 
5ddead3b5b4c05dececbfd28,com.google.android.inputmethod.latin,Gboard - the Google Keyboard,4.6,Tools,"November 21, 2019","Gboard has everything you love about Google Keyboard—speed and reliability, Glide Typing, voice typing, and more—plus Google Search built in. No more app switching; just search and share, right from your keyboard."
5ddead4e5b4c05dececbfd2b,com.alltranslator.textcamera.voicetranslate.cameratranslator,"Camera Translator - Translate Photo, Voice & Text",4.2,Tools,"October 31, 2019",Use this cool Text & Camera translator to instantly translate any text into any of 150 languages! It also pronounces the translation for you. 
5ddead575b4c05dececbfd2d,com.talkenglish.practice,English Speaking Practice,4.6,Education,"October 15, 2018",Learn and improve your English conversation skills by practicing your English speaking using our interactive conversation practice tools.
5ddead575b4c05dececbfd2f,com.urvalabs.banglilanguagetranslator,English to Bangla Language Translator,4.4,Tools,"October 14, 2019",The best translator app for English to Bangla  | Bangla to English language. Language translator is excellent app to translate text or speech. It translates your inputted text or speech in fraction of seconds. You can also share and copy translated text.
5ddead635b4c05dececbfd31,com.neurohero.oneskill,Brain Injury -One Skill Videos,3.8,Medical,"May 9, 2014",Brain Injury -One Skill Videos
5ddead675b4c05dececbfd32,com.cudu.translator,iTranslator - Voice To Voice Translation,4.6,Tools,"July 13, 2019",Let's talk through iTranslator. We'll take turns talking and listening to translations.
5ddead675b4c05dececbfd33,com.bleedu.talkenglish,Learning English: Listening & Speaking,4.7,Education,"November 10, 2019","""Learn English: Listening & Speaking"" is a free application for listening to speak English. ""Learn English: Listening & Speaking""  very useful in practicing daily conversations. ""Learn English: Listening & Speaking""  includes the list of most common words and phrases used in daily conversations. It will help you speak English."
5ddead7e5b4c05dececbfd3a,com.waverlylabs.pilot.speech.translator,Pilot Speech Translator,2.9,Tools,"November 26, 2019",Pilot Speech Translator now works with Pilot Earpieces.
5ddead7e5b4c05dececbfd3c,com.khmer.voicetyping.keyboard.text.converter,Khmer Voice Typing Keyboard – Speech to text App,4.3,Tools,"June 21, 2019","If you ever wanted to type in Khmer language on your phone then you can easily use this Khmer Voice typing keyboard which allows you to write or dictate in Khmer language. This Khmer voice typing keyboard works astonishing well, just tap on MIC button the keyboard and start saying the message whichever you want to say. You no longer need a type in other language and then translate it into Khmer language, just use this Khmer keyboard and start typing in Khmer using voice recognition."
